concept_id,concept,tamil,romanization,language,era,english,definition,historical_meaning,modern_meaning,commentary_reference,source_reference,related_concepts,example_sentence,example_translation,confidence,verified_by,version,revision_history
thumbai,Thumbai,தும்பை,Thumbai,Tamil,Sangam,Open battle — equal combat,Both armies meeting on an open field wearing Thumbai flowers for open warfare.,Thumbai is the most glorified Puram genre — open pitched battle where both sides agree to fight equally. The warrior who dies in Thumbai wearing its flowers achieves eternal fame (Pukazh) and a hero stone (Naduvaikal).,"Open battle, Thumbai flower.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Purananuru 282,"Puram, Viram, Vakai, Manam, Vetchi",விளங்கு தும்பை சூடிப் போர்க்களத்தே உயிர் துறந்தான்.,"Wearing the bright Thumbai flower, he sacrificed his life on the battlefield.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
vakai,Vakai,வாகை,Vakai,Tamil,Sangam,"Victory, celebration of triumph",The victorious warriors wearing Vakai flowers to celebrate military triumph.,Vakai concludes the Puram warfare cycle. Victorious armies wear White Vakai flowers. Vakai songs praise the king's victory in war and the distribution of spoils. It also represents the scholar's victory in learned debate.,"Victory, triumph, Vakai flower.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Akananuru 100,"Thumbai, Viram, Pukazh, Arasan, Kodai",வேல்வீரன் வெற்றிக்கு மகிழ்ந்த குடிமக்கள் வாகை மாலை சூடினர்.,The people rejoiced at the warrior's victory and wore garlands of Vakai flowers.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
padan,Padan,பாடாண்,Paadaan,Tamil,Sangam,Eulogy of a hero's deeds,"Poetic genre praising the fame, power, and gifts of a specific hero.",Padan is the Puram sub-genre devoted to direct eulogy of a king or warrior. Pathitrupathu is entirely composed of Padan poems for Chera kings. The poet's livelihood depended on the king's Kodai in response to Padan praise.,"Eulogy, praise poem.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Pathitrupathu,"Puram, Kodai, Pukazh, Arasan, Pulavan",கபிலர் புலவர் பாண்டியன் நெடுஞ்செழியனை பாடாண் பாட்டில் புகழ்ந்தார்.,The poet Kapilar praised King Nedunchezhiyan in a Padan eulogy.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
nakai,Nakai,நகை,Nagai,Tamil,Sangam,"Laughter, mirth, humor",Physical manifestation of laughter — one of eight Meyppadus in Tolkappiyam.,Tolkappiyam Meyppattiyal classifies eight physical manifestations of emotion (Meyppadu). Nakai is triggered by comic or joyful situations. It corresponds to the Hasya rasa in Sanskrit aesthetics.,"Laughter, jewelry, joy.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Alukai, Acham, Uvakai, Perumitham",கோவலன் நகையுடன் மாதவியின் நடனத்தைப் பார்த்தான்.,Kovalan watched Madhavi's dance with laughter and delight.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
alukai,Alukai,அழுகை,Azhugai,Tamil,Sangam,"Weeping, sorrow, grief",Physical expression of sorrow — one of eight Meyppadus.,"Alukai is the physical manifestation of weeping triggered by loss, separation, or tragedy. It is the dominant Meyppadu of Neythal and Palai landscapes where the heroine weeps for the absent hero.","Crying, weeping.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Nakai, Acham, Pirivu, Neythal",தலைவியின் அழுகை கடல் நீரினும் பெரிதாயிற்று.,The heroine's weeping became greater than the sea itself.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
ilivaral,Ilivaral,இழிவரல்,Ilivaral,Tamil,Sangam,"Disgust, self-pity, contempt",Physical manifestation of revulsion or degradation — one of eight Meyppadus.,"Ilivaral is triggered by humiliating experiences, degradation, or self-contempt. In Akam poetry it appears when the heroine feels dishonored; in Puram when a warrior faces shame.","Contempt, disgust.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Manam, Nan, Nakai",வீரன் தன் தோல்வியை கண்டு இழிவரலில் வீழ்ந்தான்.,"Seeing his defeat, the warrior fell into disgust and shame.",0.93,Tamil Scholar / Tolkappiyam Tradition,1,[]
marutkai,Marutkai,மருட்கை,Marutkkai,Tamil,Sangam,"Wonder, astonishment, awe",Physical manifestation of awe and surprise — one of eight Meyppadus.,"Marutkai corresponds to the Adbhuta rasa of Sanskrit aesthetics. In Sangam poetry it appears when heroes witness the grandeur of nature, divine acts, or extraordinary valor in battle.","Wonder, awe, astonishment.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Uvakai, Acham, Perumitham",மன்னன் கொடையைக் கண்டு புலவர் மருட்கையில் திகைத்தார்.,"Seeing the king's generosity, the poet stood in wonder and awe.",0.93,Tamil Scholar / Tolkappiyam Tradition,1,[]
acham,Acham,அச்சம்,Acham,Tamil,Sangam,"Fear, dread, terror",Physical manifestation of fear — one of eight Meyppadus.,"Acham corresponds to the Bhayanaka rasa. In Akam poetry, the heroine fears the dangerous landscape (desert, sea) during her lover's absence. In Puram, warriors face Acham before battle but conquer it through Viram.","Fear, dread.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Viram, Marutkai, Perumitham",வீரன் அச்சமின்றி போர்க்களம் புகுந்தான்.,The warrior entered the battlefield without fear.,0.93,Tamil Scholar / Tolkappiyam Tradition,1,[]
perumitham,Perumitham,பெருமிதம்,Perumitham,Tamil,Sangam,"Noble pride, heroic dignity","The dignified pride arising from valor, learning, or charitable deeds.","Perumitham corresponds to Veera rasa. It is the physical manifestation of noble pride — the warrior's upright bearing, the scholar's confident eloquence, the king's dignified generosity. Thirukkural praises this as Manam.","Pride, arrogance, dignity.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Viram, Manam, Sanror, Pukazh",வேந்தன் வெற்றியுடன் பெருமிதத்தோடு வீரர்களை வரவேற்றான்.,The king welcomed the warriors with noble pride after the victory.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
vekuli,Vekuli,வெகுளி,Veguli,Tamil,Sangam,"Righteous anger, wrath",Physical manifestation of anger — one of eight Meyppadus.,"Vekuli corresponds to Raudra rasa. In Puram poetry it is the righteous anger of the king when injustice is done. In Akam, it is the wife's anger (Udal) in Marutham. Thirukkural warns that uncontrolled Vekuli destroys the self.","Anger, wrath.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal; Thirukkural Ch 31,"Acham, Udal, Marutham, Sengol",நீதி மறுக்கப்பட்டதால் அரசன் வெகுளியில் எழுந்தான்.,"When justice was denied, the king rose in righteous anger.",0.93,Tamil Scholar / Tolkappiyam Tradition,1,[]
uvakai,Uvakai,உவகை,Uvagai,Tamil,Sangam,"Delight, joy, ecstasy",Pure joy and satisfaction — one of eight Meyppadus.,"Uvakai corresponds to Shanta rasa or Sringara's joy. It is the physical manifestation of happiness at reunion, gift-receiving, or victory. Koodal (union) in Kurinji Tinai is the primary context for Uvakai in Akam poetry.","Joy, delight, happiness.",Nachinarkkiniyar,Tolkappiyam Meyppattiyal,"Nakai, Koodal, Inbam, Kurinji",தலைவன் திரும்பி வந்ததால் தலைவி உவகையில் மகிழ்ந்தாள்.,The heroine rejoiced with delight when her love returned.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
illaram,Illaram,இல்லறம்,Illaram,Tamil,Post-Sangam,Virtuous domestic life,The righteous path of married household life.,"Thirukkural Chapter 5 celebrates Illaram as superior to asceticism if lived virtuously. 'The householder is the support of the other three orders of life.' It balances Aram (virtue), love (Anbu), and social duty (Ozhukkam).","Domestic life, married life.",Parimelazhagar,Thirukkural Chs 5–9,"Turavaram, Aram, Anbu, Karpu, Vrunthompal",இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை.,The householder is the pillar of support for the other three righteous life-paths.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
turavaram,Turavaram,துறவறம்,Thuravam,Tamil,Post-Sangam,"Renounced life, asceticism",The path of detachment from worldly bonds pursued for spiritual liberation.,"Thirukkural Chapter 35: Turavaram is praised as the highest path, but Illaram lived virtuously is its equal. Manimekalai's heroine renounces domestic life to pursue Turavaram for universal compassion.","Renunciation, asceticism.",Parimelazhagar,"Thirukkural Chs 27, 35; Manimekalai","Illaram, Thavam, Aram, Sanror",மணிமேகலை இல்வாழ்க்கையை துறந்து துறவறம் மேற்கொண்டாள்.,Manimekalai renounced domestic life and embraced the ascetic path.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
thozhi,Thozhi,தோழி,Thozhi,Tamil,Sangam,"Female confidante, companion of the heroine","The heroine's close friend who advises, protects, and acts as her messenger.","The Thozhi is an indispensable character in Akam poetry. She mediates between the lovers, consoles the heroine during separation, and often speaks more poems than the heroine herself. Tolkappiyam defines her role precisely.","Female friend, companion.",Nachinarkkiniyar,Tolkappiyam Akattinaiyal; all Five Tinai collections,"Katali, Katalan, Panan, Akam, Neythal",தோழி இன்சொல் பேசி தலைவியின் துயரை தணித்தாள்.,The confidante spoke sweetly and alleviated the heroine's grief.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
panan,Panan,பாணன்,Paanan,Tamil,Sangam,"Minstrel, bard, love messenger",A singer and messenger who carries the hero's message to the heroine.,"The Panan played the Yazh and sang for kings and lovers alike. In Puram, he received Kodai (gifts) for his poems. In Akam, he carried the hero's messages through the dangerous Palai landscape.","Folk singer, minstrel.",Nachinarkkiniyar,Tolkappiyam; Purananuru; Ainkurunuru,"Pulavan, Yazh, Kodai, Puram, Akam",பாணன் யாழிசையால் மன்னனின் புகழை பாடி கொடை பெற்றான்.,The minstrel sang the king's praises with the Yazh and received generous gifts.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
virali,Virali,விறலி,Virali,Tamil,Sangam,Female dancer-bard,"A female performer who danced and sang, accompanying the male Panan.",The Virali was the female counterpart of the Panan. She danced while the Panan sang. Together they traveled between courts to receive royal patronage. Many Purananuru poems address or praise the Virali's skills.,"Female dancer, performer.",Nachinarkkiniyar,Tolkappiyam; Purananuru,"Panan, Koothu, Yazh, Kodai",விறலி நடனம் ஆடி மன்னனின் மனத்தை மகிழ்வித்தாள்.,The female dancer danced and delighted the king's heart.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
vallal,Vallal,வள்ளல்,Vallal,Tamil,Sangam,"Great philanthropist, generous chieftain",A chieftain or king famous for extraordinary generosity to poets and the poor.,"The title Vallal was given to kings and chieftains who gave unstintingly. The Seven Great Tamil Patrons (Kaadai Ezhu Vallalgal) are the most celebrated: Pari, Kari, Ori, Pegan, Ay, Athigan, Nalli.","Philanthropist, generous patron.",Nachinarkkiniyar,Purananuru; Pathitrupathu,"Kodai, Igai, Pukazh, Arasan, Panan",வள்ளலின் கொடை கேட்டு புலவர்கள் தொலைவிலிருந்து வந்தனர்.,"Hearing the philanthropist's generosity, poets came from afar.",0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
kelir,Kelir,கேளிர்,Kelir,Tamil,Sangam,"Kinsmen, universal relations",The concept of all humanity as one's kinsmen.,"Purananuru 192 by Kaniyan Pungundranar: 'Yaathum oore, yaavarum kelir' — 'Every city is mine, all people are my kinsmen.' This is the most radical statement of universal brotherhood in ancient Tamil thought.","Relatives, kinsmen.",Nachinarkkiniyar,Purananuru 192,"Anbu, Arul, Vrunthompal, Puram",யாதும் ஊரே யாவரும் கேளிர்.,Every city is my native place; all people are my kinsmen.,0.99,Tamil Scholar / Tolkappiyam Tradition,1,[]
pulavan,Pulavan,புலவன்,Pulavan,Tamil,Sangam,"Poet, scholar-bard","A learned poet composing in honor of truth, beauty, and human experience.","The Sangam Pulavan was not just a poet but a moral philosopher and historian. Poets like Kapilar, Paranar, and Avvaiyar shaped the ethical discourse of their age. They depended on royal patronage (Kodai) for their livelihood.","Poet, learned person.",Nachinarkkiniyar,Purananuru; Pathitrupathu,"Panan, Nool, Kodai, Avai, Pukazh",புலவன் தன் பாடலில் மன்னனின் வீரத்தையும் கொடையையும் போற்றினான்.,The poet praised the king's valor and generosity in his poem.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
uvamam,Uvamam,உவமம்,Uvamam,Tamil,Sangam,"Simile, comparison",The primary literary device comparing emotions to nature in Akam poetry.,Tolkappiyam Porulatikaram specifies hundreds of permitted Uvamam (similes) for each Tinai. Each landscape has its own sanctioned set of comparisons. Kurunthokai 40's red earth simile is the most celebrated example.,"Simile, metaphor.",Nachinarkkiniyar,Tolkappiyam Porulatikaram,"Ullurai, Iraichi, Kurippu, Akam",செம்புலப் பெயல்நீர் போல அன்புடை நெஞ்சம் தாங்கலந்த னவே.,"Like red soil mixing with pouring rain, our loving hearts have merged into one.",0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
ullurai,Ullurai,உள்ளுறை,Ulluurai,Tamil,Sangam,"Inherent metaphor, implied meaning",An embedded metaphor in Akam poems where nature parallels human emotion.,Ullurai is a sophisticated Tolkappiyam device where the natural image and the human emotional situation are not directly compared (as in Uvamam) but run as parallel narratives that illuminate each other implicitly.,"Implied metaphor, subtext.",Nachinarkkiniyar,Tolkappiyam Porulatikaram,"Uvamam, Iraichi, Akam, Tinai",உள்ளுறை என்பது இயற்கையையும் மனிதனையும் ஒரு நேரத்தில் கூறும் நுட்பமான உத்தி.,Ullurai is the subtle device that simultaneously describes nature and the human heart.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
yazh,Yazh,யாழ்,Yaazh,Tamil,Sangam,"Tamil lute, ancient harp",The primary stringed instrument of Classical Tamil culture.,The Yazh was the principal instrument of Sangam music. The Panan played it while accompanying the king or carrying messages for lovers. Silappathikaram extensively describes various types of Yazh and musical scales (Pan).,"Lute, harp.",Adiyarkkunallar,Silappathikaram; Purananuru; Pathitrupathu,"Pan, Panan, Koothu, Parai",பாணன் யாழிசையால் தலைவியின் காதலனை அழைத்தான்.,The minstrel summoned the heroine's lover with the music of the Yazh.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
pan,Pan,பண்,Pan,Tamil,Sangam,"Melody, musical scale, raga",Musical scales corresponding to landscapes and emotional states.,Each Tinai had its own sanctioned Pan (melody). Silappathikaram describes seven Pans for the seven Tinais. The most celebrated is Kurinji-Pan for mountain love songs. Tolkappiyam's Marabu (tradition) encoded this system.,"Melody, tune, musical mode.",Adiyarkkunallar,Silappathikaram; Tolkappiyam,"Yazh, Koothu, Tinai, Karupporul",குறிஞ்சி பண்ணில் பாடப்பட்ட பாட்டு காதலரின் நெஞ்சை நெகிழ்த்தது.,The song sung in the Kurinji melody melted the lovers' hearts.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
koothu,Koothu,கூத்து,Koothu,Tamil,Sangam,"Classical drama, ritual dance",Theatrical dance performance depicting epics and stories.,Koothu was the primary dramatic tradition of the Sangam era. Silappathikaram's Madhavi is a master of Koothu — the text lists numerous types of dance including Arangetram (debut performance).,"Folk drama, Theyyam, Koothu performance.",Adiyarkkunallar,Silappathikaram Ch 5; Tolkappiyam,"Yazh, Pan, Virali, Panan",மாதவி அரங்கேற்றத்தில் கூத்து நடனம் ஆடி மன்னனை மகிழ்வித்தாள்.,Madhavi performed the Koothu dance at her debut and delighted the king.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
nool,Nool,நூல்,Nool,Tamil,Sangam,"Book, canonical treatise","A structured canonical text containing moral codes, grammar, or science.","Nool is the term for authoritative texts: Tolkappiyam (grammar/poetics), Thirukkural (ethics), Silappathikaram (epic). Thirukkural opens with praise of God as 'the beginning' — a Nool of Nools.","Book, thread, text.",Nachinarkkiniyar,Tolkappiyam; Thirukkural; Purananuru,"Pulavan, Avai, Pa, Venpa",நூலறிந்து நன்மை செய்வோரே உலகில் வாழும் பயனுடையோர்.,Those who know the canonical texts and do good are the ones who live worthily.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
venpa,Venpa,வெண்பா,Venba,Tamil,Post-Sangam,Classical four-line verse meter,"The strict metrical form of Thirukkural, characterized by rhyming couplets.","Venpa is one of the four main Tamil meters (Pa). Thirukkural uses Kuttraalenba (a type of Venpa) with strict rules: 4 feet per line, 2 lines per couplet, a unique 'kural' foot in the second line. It is the most demanding and prestigious Sangam meter.",Classical Tamil verse form.,Nachinarkkiniyar,Thirukkural; Tolkappiyam Cheyyuliyal,"Nool, Pa, Asiriyappa, Kalippa",வெண்பா அமைப்பில் திருவள்ளுவர் மனித நேயத்தை பாடினார்.,"In the Venpa meter, Thiruvalluvar sang of human virtue.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
kanavan,Kanavan,கணவன்,Kanavan,Tamil,Sangam,Husband,The male partner in marriage and head of the household.,"In Sangam poetry, the Kanavan is the hero who leaves for war or wealth (Palai, Mullai). Kurunthokai 135: 'Action is the life of men; for women at home, their Kanavan is life.' Thirukkural Ch 6 describes the ideal mutual relationship.",Husband.,Nachinarkkiniyar,Thirukkural Ch 6; Kurunthokai 135; Tolkappiyam,"Manaivi, Illaram, Karpu, Anbu",கணவன் வீடு திரும்பும் நாளை தலைவி ஆவலுடன் எதிர்பார்த்தாள்.,The heroine eagerly awaited the day her husband would return home.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
manaivi,Manaivi,மனைவி,Manaivi,Tamil,Sangam,"Wife, mistress of the household",The female partner in marriage and guardian of domestic virtue.,The Manaivi is the central figure of Thirukkural Chapter 6 (Vaazhkkai Thunainalm). Her virtue (Karpu) and management of the household (Mana-maadchi) determine the family's prosperity and the husband's honor.,Wife.,Parimelazhagar,Thirukkural Ch 6; Tolkappiyam; Silappathikaram,"Kanavan, Karpu, Illaram, Thozhi",மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை எனைமாட்சித்து ஆயினும் இல்.,"If the wife lacks home-adorning virtue, however grand the life, it has no real worth.",0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
kadal,Kadal,காதல்,Kaaathal,Tamil,Sangam,"Romantic love, passionate affection",Mutual romantic and passionate affection between a man and a woman.,Kadal (love) is the soul of all Akam poetry. It encompasses the full range from secret meeting (Kalavu/Kurinji) to marital union (Karpu) and longing during separation. Kurunthokai 3 is the supreme expression.,"Love, romantic love.",Nachinarkkiniyar,"Tolkappiyam; Kurunthokai 3, 40; all Five Tinai collections","Anbu, Inbam, Kalavu, Koodal, Pirivu",நிலத்தினும் பெரிதே வானினும் உயர்ந்தன்று குறிஞ்சி நாடனோடு நட்பே.,Greater than earth and higher than sky is my love for the lord of the Kurinji land.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
kalavu,Kalavu,களவு,Kalavu,Tamil,Sangam,Secret premarital love,"The hidden, clandestine phase of love before parental approval and marriage.",Tolkappiyam defines Kalavu as the first phase of Akam love — secret meetings in the mountainous Kurinji landscape at night. It precedes Karpu (married fidelity). The Thozhi mediates between the lovers during Kalavu.,"Secret love, hidden affair.",Nachinarkkiniyar,Tolkappiyam Akattinaiyal; Kurunthokai; Ainkurunuru,"Karpu, Kurinji, Thozhi, Kadal",களவு ஒழுக்கத்தில் தலைவன் தலைவியை இரவில் மலைச்சரிவில் சந்தித்தான்.,"In the convention of secret love, the hero met the heroine at night on the hillside.",0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
koodal,Koodal,கூடல்,Koodal,Tamil,Sangam,"Union, joyful reunion of lovers",The happy coming-together of separated lovers.,Koodal is the opposite of Pirivu (separation). It is the emotional climax of the lovers' journey — whether the first union in Kurinji or the return from Palai separation. Uvakai (delight) is its defining Meyppadu.,"Union, meeting, coming together.",Nachinarkkiniyar,Tolkappiyam; Kurinji Tinai poems,"Pirivu, Kadal, Kurinji, Uvakai",நெடுநாள் பிரிவுக்கு பிறகு தலைவன் வந்ததால் கூடல் இனிதாயிற்று.,"After a long separation, the hero's return made the union sweet.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
pirivu,Pirivu,பிரிவு,Pirivu,Tamil,Sangam,"Separation, departure of the hero","The hero's departure for war, education, or wealth — the source of the heroine's grief.","Pirivu is the emotional core of Palai, Neythal, and Mullai Tinais. The hero's separation generates the heroine's longing and the Thozhi's consolation. Narrinai, Kurunthogai, and Akananuru are full of Pirivu imagery.","Separation, division.",Nachinarkkiniyar,Tolkappiyam; Natrinai; Kurunthokai; Akananuru,"Koodal, Palai, Neythal, Mullai, Vinai",பிரிவின் துயரில் தலைவி கண்ணீர் கடலினும் பெரிதாயிற்று.,"In the sorrow of separation, the heroine's tears became greater than the sea.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
udal,Udal,ஊடல்,Uudal,Tamil,Sangam,"Lover's tiff, feigned anger in marriage",Temporary romantic disagreement or feigned anger between married lovers.,"Thirukkural Chapter 131 praises Udal as the 'pepper' that spices married life. In Marutham Tinai, the wife's Udal is her righteous response to infidelity. It is a sophisticated convention of Akam poetry, not mere quarreling.","Sulking, lover's quarrel.",Parimelazhagar,Thirukkural Ch 131; Kalithokai; Marutham Tinai,"Marutham, Manaivi, Anbu, Vekuli",ஊடல் உவகை தரும் இல்லறத்தின் இனிய நிகழ்வாகும்.,The lover's tiff is a sweet event of domestic life that eventually brings joy.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
naduvaikal,Naduvaikal,நடுகல்,Nadukal,Tamil,Sangam,"Hero stone, memorial stone",Memorial stone erected to commemorate heroes who died in battle.,"Naduvaikal is a uniquely Tamil institution documented in Purananuru and in archaeological finds across Tamil Nadu. After a hero's death in Thumbai combat, a stone was inscribed, worshipped, and sung to. It is the physical form of Pukazh.","Memorial stone, hero's monument.",Nachinarkkiniyar,Purananuru; Tolkappiyam Purattinaiyal,"Viram, Pukazh, Thumbai, Manam, Puram",போர்க்களத்தில் மாண்ட வீரனுக்கு நடுகல் நட்டு வணங்கினர்.,They erected and worshipped a hero stone for the warrior who fell on the battlefield.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
avai,Avai,அவை,Avai,Tamil,Sangam,"Assembly, royal court, council of elders","The public assembly of learned men, poets, and nobles where discourse happens.",Thirukkural Chapter 73 covers Avai: how to speak in assemblies. The Sangam literary academies (Sangams) were the supreme Avais. The Avai was the crucible of Tamil intellectual life.,"Assembly, gathering, parliament.",Parimelazhagar,Thirukkural Ch 73; Purananuru,"Pulavan, Nool, Sankam, Arasan",பல்லார் முனியப் பயனில சொல்லுவான் எல்லாரும் எள்ளப் படும்.,He who speaks useless words to the disgust of the assembly will be despised by all.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
sankam,Sankam,சங்கம்,Sangam,Tamil,Sangam,"Literary academy, assembly of poets",The mythical or historical academies of Tamil poets that produced the classical corpus.,"The Three Sangams (Muthal, Idai, Kadai Sangam) of Madurai are described in later Tamil tradition as academies under royal patronage that preserved the classical corpus. The term gives the Sangam era its name.","Academy, organization, association.",Irakavaiyankaar,Nakkiranar Irayanar Agapporul Commentary,"Avai, Pulavan, Arasan, Nool",மதுரையில் நடைபெற்ற சங்கத்தில் தமிழ்ப் புலவர்கள் கூடிப் பாடினர்.,Tamil poets gathered at the Sangam in Madurai and composed their poems.,0.93,Tamil Scholar / Tolkappiyam Tradition,1,[]
nadu,Nadu,நாடு,Nadu,Tamil,Sangam,"Country, territory, state",A prosperous territory governed by a just king with fertile land and happy people.,"Thirukkural Chapter 74 defines the ideal Nadu: fortress, food, wealth, army, allies, and wise counsel. The king's virtue determines the Nadu's prosperity — even rainfall depends on the ruler's righteousness.","Country, land, place.",Parimelazhagar,Thirukkural Ch 74,"Arasan, Sengol, Aran, Porul",வளம் கெழு நாட்டில் மக்கள் மகிழ்வாக வாழ்ந்தனர்.,People lived happily in the prosperous and fertile land.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
aran,Aran,அரண்,Aran,Tamil,Sangam & Post-Sangam,"Fortress, natural or built defense",A natural or constructed fortification protecting the kingdom.,"Thirukkural Chapter 75 defines the ideal Aran. Three types exist: natural (mountains, rivers), constructed (walls), and divine. The greatest Aran is the king's virtue — 'Aram is the fortress of virtuous life.'","Fort, fortress, fortification.",Parimelazhagar,Thirukkural Ch 75,"Nochi, Nadu, Arasan, Viram",அரணின் வலிமை படை வலிமையிலும் அரசனின் நேர்மையிலும் அமைந்திருக்கிறது.,The strength of a fortress lies in the strength of the army and the king's integrity.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
mey,Mey,மெய்,Mey,Tamil,Sangam,"Truth, body, physical reality",The absolute truth or physical reality of existence.,"Mey has two primary meanings: (1) the body — the physical vessel, and (2) truth — the absolute reality beyond illusion. In Tolkappiyam Meyppattiyal, 'Meyppadu' (physical manifestation) derives from Mey.","Body, truth.",Nachinarkkiniyar,Tolkappiyam; Thirukkural,"Vaimai, Uyir, Oozh",மெய்யறிந்தோர் வாய்ச்சொல் செம்பொருள் ஆகும்.,The words of those who have known truth become the true meaning itself.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
uyir,Uyir,உயிர்,Uyir,Tamil,Sangam,"Life, soul, animating force",The animating principle that distinguishes living beings from the non-living.,Tolkappiyam distinguishes Uyir (soul/life) from Mey (body). Thirukkural constantly references Uyir as the precious gift to be protected. Sangam poetry frames all ethical values in relation to the Uyir's welfare.,"Life, soul, vitality.",Nachinarkkiniyar,"Tolkappiyam; Thirukkural Chs 1, 33","Mey, Aram, Kollamai, Vinai",உயிர்க்கு அறம் செய்தல் உயர்ந்த கடன் ஆகும்.,Performing virtue for all living souls is the highest duty.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
vel,Vel,வேல்,Vel,Tamil,Sangam,"Spear, symbol of Murugan",The primary weapon of the Tamil warrior and divine symbol of Lord Murugan.,"The Vel is both a weapon and a symbol. As the weapon of Murugan (the Tamil deity), it represents divine justice. Warriors carried Vel as a sacred symbol. Sangam poems describe its golden shaft and its terrifying power in battle.","Spear, trident.",Nachinarkkiniyar,Purananuru; Pathitrupathu; Tolkappiyam,"Viram, Puram, Arasan, Thumbai",வேல் ஏந்தி வீரன் போர்க்களம் புகுந்தான்.,"Holding the spear, the warrior entered the battlefield.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
velvi,Velvi,வேள்வி,Velvi,Tamil,Sangam,"Sacrificial ritual, sacred fire offering",Ritual fire sacrifices performed by kings and priests to ensure cosmic order.,"Velvi (Yajna) was performed by Sangam kings to secure divine favor, rain, and victory. Purananuru 15: Kapilar praises the king who performed many Velvis. Five types of Velvi are also listed in Thirukkural Ch 5.","Yagna, fire ritual, sacrifice.",Nachinarkkiniyar,Purananuru 15; Thirukkural Ch 5; Akananuru 1,"Aram, Arasan, Kodai, Uyir",நன்பல வேள்வி செய்து முடித்த அரசனைக் கபிலர் பாராட்டினார்.,Kapilar praised the king who successfully performed many noble fire sacrifices.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
